,text
64,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/3NEESiYCUm
65,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/3NEESiYCUm
66,Trajectories of depression and anxiety symptoms during the COVID‐19 pandemic in a representative Australian adult c… https://t.co/jz89ECLxYp
67,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/3NEESiYCUm
68,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/3NEESiYCUm
69,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/3NEESiYCUm
70,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/3NEESiYCUm
71,RT : Here's one of the 10 best research articles published by the MJA in 2021: Trajectories of depression and anxiety symptoms durin…
72,RT : Here's one of the 10 best research articles published by the MJA in 2021: Trajectories of depression and anxiety symptoms durin…
73,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/3NEESiYCUm
74,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/3NEESiYCUm
75,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/3NEESiYCUm
76,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/3NEESiYCUm
77,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/3NEESiYCUm
78,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/3NEESiYCUm
79,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/3NEESiYCUm
80,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/3NEESiYCUm
81,"RT : With nearly 1,000 nursing vacancies in NB, nurses have been working short staffed for years, causing severe anxiety and stre…"
82,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/3NEESiYCUm
83,"🔴Today at 15h CET #STOA event: 
What are the #mentalhealth consequences of the #coronacrisis?

👉Interview with stud… https://t.co/mu0BbWlqXp"
84,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/3NEESiYCUm
85,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/3NEESiYCUm
86,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/3NEESiYCUm
87,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/sth8jwUrAf
88,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/3NEESiYCUm
89,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/3NEESiYCUm
90,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/3NEESiYCUm
91,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/3NEESiYCUm
92,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/3NEESiYCUm
93,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/3NEESiYCUm
94,Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/3NEESiYCUm
95,Here's one of the 10 best research articles published by the MJA in 2021: Trajectories of depression and anxiety sy… https://t.co/dEgbxHepRQ
96,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/sth8jwUrAf
97,RT : Just a simple question....why we aren't getting any updates regarding NIFT exams?? We were already stressed bcoz of our ex…
98,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/sth8jwUrAf
99,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/sth8jwUrAf
100,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/sth8jwUrAf
101,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/sth8jwUrAf
102,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/sth8jwUrAf
103,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/sth8jwUrAf
104,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/sth8jwUrAf
105,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/sth8jwUrAf
106,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/sth8jwUrAf
107,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/sth8jwUrAf
108,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/sth8jwUrAf
109,"Since COVID-19 first emerged, a flurry of research in addition to Guzick’s has been conducted looking at the exacer… https://t.co/cpY25rQO4l"
110,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/sth8jwUrAf
111,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/sth8jwUrAf
112,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/sth8jwUrAf
113,"RT : Modern Farmer - Climate grief, farmers ( &amp; others) exposed to extreme weather events are vulnerable to depression, anx…"
114,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/sth8jwUrAf
115,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/sth8jwUrAf
116,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/sth8jwUrAf
117,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/sth8jwUrAf
118,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/sth8jwUrAf
119,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/sth8jwUrAf
120,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/sth8jwUrAf
121,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/sth8jwUrAf
122,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/sth8jwUrAf
123,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/sth8jwUrAf
124,Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/sth8jwUrAf
125,"RT : For more information, take a look at our resources for reducing #covid19 anxiety, and for staying mentally and physical…"
126,"For more information, take a look at our resources for reducing #covid19 anxiety, and for staying mentally and phys… https://t.co/0bQVpWYGQg"
127,"RT : How to Prevent COVID-19 Disease

Masking 🔴
Social distancing 🔴
Lockdowns 🔴
Mass Vaccination 🔴
Fear and anxiety 🔴
Obesity…"
128,"I have epilepsy, brought on by stress, anxiety &amp; depression. I have Grand Mal seizures. If I get a high fever from… https://t.co/stzbUPB6f2"
129,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
130,"RT : talking w/parents, family activities, physical activities + better sleep were among the top predictors of high positive affe…"
131, this post empowers individuals by educating them on the signs and symptoms of anxiety and panic at… https://t.co/RWxKxkQq6R
132, How many times have I convinced myself that allergies are COVID-19? Every single time. Lots of negat… https://t.co/aALGwrwTqC
133,"The pandemic prompted a surge in referrals for a variety of mental health challenges, including the effects of losi… https://t.co/OBW5szdgPQ"
134,"COVID-19 more common in people reporting stress, anxiety, and depression, study finds. #COVID19 #coronavirus… https://t.co/HAEqBw6N5V"
135,"RT : Unsure how to manage workplace anxiety in the context of COVID-19? Are you or your team members struggling?

Join us on Tue…"
136,Want a reason to take a light walk? A recent link of worse mental health to chronic sitting has been found. Time to… https://t.co/DTYEPIOoGI
137,"RT : Our new paper out today  
'Impact of COVID-19 on HCPs exposed to drug-related deaths' 
Significant implicat…"
138,"RT : Our new paper out today  
'Impact of COVID-19 on HCPs exposed to drug-related deaths' 
Significant implicat…"
139,"RT : 76 million new cases of anxiety in 2020 &amp; 53 million new cases of depression, all due to #COVID-19. How to deal with i…"
140,"Providing care to others during the COVID-19 pandemic can lead to stress, anxiety, fear, and other strong emotions.… https://t.co/mqMYgWkag4"
141,Makes sense - now that can’t get PCR testing for COVID-19 - that we need a clear way to make a Dx. I worry the CFS/… https://t.co/qGydhqzLge
142,"RT : Our new paper out today  
'Impact of COVID-19 on HCPs exposed to drug-related deaths' 
Significant implicat…"
143,"RT : Working in #education right now can create a lot of #anxiety. If you’re looking for supports, visit… https://t.co/fMhRIHcsLZ"
144,"RT : From changes to everyday life like handwashing &amp; masks, to disruption &amp; anxiety around going to school, the pandemic h…"
145," 1. Have to have your vaccinations to go to school, those have been around for years. This is only… https://t.co/WtnrkvyhnO"
146,"RT : Covid-19 rules are changing across the UK this week, and we know that some people in our community will have mixed feelin…"
147,"RT : Our new paper out today  
'Impact of COVID-19 on HCPs exposed to drug-related deaths' 
Significant implicat…"
148,"RT : Our new paper out today  
'Impact of COVID-19 on HCPs exposed to drug-related deaths' 
Significant implicat…"
149,A new Canadian study has found that depression and anxiety symptoms have doubled in children and adolescents compar… https://t.co/jt0iVfhjN5
150,"RT : Our new paper out today  
'Impact of COVID-19 on HCPs exposed to drug-related deaths' 
Significant implicat…"
151,"RT : Our new paper out today  
'Impact of COVID-19 on HCPs exposed to drug-related deaths' 
Significant implicat…"
152,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
153,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
154,"RT : From changes to everyday life like handwashing &amp; masks, to disruption &amp; anxiety around going to school, the pandemic h…"
155," Not so much, well at least not in these COVID-19 times.

I’d suggest talking to a doctor about anxi… https://t.co/CMgvW11sG6"
156,"RT : Our new paper out today  
'Impact of COVID-19 on HCPs exposed to drug-related deaths' 
Significant implicat…"
157,"From changes to everyday life like handwashing &amp; masks, to disruption &amp; anxiety around going to school, the pandemi… https://t.co/AsaIkMDqIh"
158,"The need for these skills has increased during my coaching career.

Social Media, dependence on technology, the inc… https://t.co/kWC80I4Ynw"
159,RT : Covid-19 anxiety changing commuter travel habits https://t.co/LReE2y6Wuq #Taxi #Chauffeur #Malta https://t.co/7161RZPIb2
160,RT : #CovidVaccination reduced symptoms of #depression by 27% and #anxiety by 28%. [...] Vaccine hesitancy might carry two risk…
161,"Feeling Blah During the Pandemic? It's Called Languishing - The New York Times

PLEASE READ!! 🙏🏽
Something to pay a… https://t.co/Hp8CNCc9x1"
162,"After nearly two years, intermittent eductation, so much isolation, intense anxiety and seven negative tests, my family has COVID-19."
163,"RT : About 2% of Americans have #OCD, an often disabling condition that worsens in the face of stress and uncertainty.  As many…"
164,"RT : Our new paper out today  
'Impact of COVID-19 on HCPs exposed to drug-related deaths' 
Significant implicat…"
165,"RT : Our new paper out today  
'Impact of COVID-19 on HCPs exposed to drug-related deaths' 
Significant implicat…"
166,"While research show’s pandemic anxiety, USF’s top administrators do little to console student fears.  

Story by Au… https://t.co/uAVojun8VQ"
167,Why fighting reality spells disaster for not only your health but your family  https://t.co/e4snIM3XCF
168,RT : It is normal to be feeling increased levels of stress and anxiety due to the ongoing COVID-19 pandemic.  If you’ve been gettin…
169,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/x13H9HRVgN
170,"So darn tired today. Hoping it's more depression, anxiety, and/or weather related. Although unlikely, I'm really ho… https://t.co/sXOhzNNcBN"
171,"CBD may help block COVID. I need to start taking mine again (headaches/pain/anxiety/etc,) and this is an added ince… https://t.co/okM2csdR37"
172,RT : It is normal to be feeling increased levels of stress and anxiety due to the ongoing COVID-19 pandemic.  If you’ve been gettin…
173,It is normal to be feeling increased levels of stress and anxiety due to the ongoing COVID-19 pandemic.  If you’ve… https://t.co/VUl3xaCFb3
174,A fifth calls made to Our Frontline 24/7 phone and text line in the past two years were made by nurses requesting s… https://t.co/eCXQMS717m
175,"RT : One in four Canadians aged 18 and older experienced symptoms consistent with depression, anxiety or post-traumatic stress…"
176,"RT : With nearly 1,000 nursing vacancies in NB, nurses have been working short staffed for years, causing severe anxiety and stre…"
177,"RT : With nearly 1,000 nursing vacancies in NB, nurses have been working short staffed for years, causing severe anxiety and stre…"
178,"RT : Working in #education right now can create a lot of #anxiety. If you’re looking for supports, visit the  #carefora…"
179,"RT : talking w/parents, family activities, physical activities + better sleep were among the top predictors of high positive affe…"
180,"RT : It can be difficult to cope with fear and anxiety, changing daily routines, and a general sense of uncertainty about COVI…"
181,"COVID-19 is a large reason for this anxiety among young people. ""I literally stopped thinking about my future as ou… https://t.co/g481Po1MdJ"
182,"RT : With nearly 1,000 nursing vacancies in NB, nurses have been working short staffed for years, causing severe anxiety and stre…"
183,"RT : talking w/parents, family activities, physical activities + better sleep were among the top predictors of high positive affe…"
184,"Modern Farmer - Climate grief, farmers ( &amp; others) exposed to extreme weather events are vulnerable to depression,… https://t.co/fyrVTvbXT0"
185,RT : Here's one of the 10 best research articles published by the MJA in 2021: Trajectories of depression and anxiety symptoms durin…
186,The workplace plays a key role in influencing mental health during COVID-19. Substantial research is now focusing o… https://t.co/Pjh7MSBLgh
187,"RT : One in four Canadians aged 18 and older experienced symptoms consistent with depression, anxiety or post-traumatic stress…"
188,RT : FDA authorizes antiviral drug remdesivir as an outpatient therapy for people with covid-19   - The Washington Post htt…
189,FDA authorizes antiviral drug remdesivir as an outpatient therapy for people with covid-19   - The Washington Post… https://t.co/xhwXi6EyhC
190,Social distancing rules and general anxiety surrounding the pandemic have changed how many sales teams must operate… https://t.co/RYL0zQCjwJ
191,"  The pain, anxiety, depression combination problems are much more complex. Here the fight is… https://t.co/3qjZkscZX3"
192,"""PROMs identified fatigue, reduced sleep quality, and increased anxiety and depression in both groups but more pron… https://t.co/HT55vr99JS"
193,"RT : In 2020, nearly 40% of construction workers who used prescription opioids in the past year suffered from self-reported anxiety or…"
194,"RT : One in four Canadians aged 18 and older experienced symptoms consistent with depression, anxiety or post-traumatic stress…"
195,"Anxiety? due to COVID-19 Pandemic? 
#NAIKAN (#Introspection) mediation / self-therapy would make you clam.
Make… https://t.co/Cpps3fuvQ0"
196," to neuroticism to me eg. obsessive hand-washing, mask wearing, Covid-19 Anxiety Disorder type symp… https://t.co/D0pTz77Fmg"
197,"RT : “The prevalence of depression and anxiety symptoms during (the) COVID-19 (pandemic) have doubled,” The upside is that an…"
198,"RT : talking w/parents, family activities, physical activities + better sleep were among the top predictors of high positive affe…"
199,"RT : Covid-19 cases across India are on rise again.
Our self discipline can ensure our safety

#COVID19 #CoronaUpdate  #COVID #cov…"
200,"RT : talking w/parents, family activities, physical activities + better sleep were among the top predictors of high positive affe…"
201,If you're feeling a sense of social anxiety right now you're not alone. Shared some thoughts with  about this… https://t.co/trCdcx4tNL
202,"RT : talking w/parents, family activities, physical activities + better sleep were among the top predictors of high positive affe…"
203,The share price of companies that thrive when people are more willing to be in public places could be a good gauge… https://t.co/05hNAmraNb
204,"RT : talking w/parents, family activities, physical activities + better sleep were among the top predictors of high positive affe…"
205,"RT : From today in Ireland, 100's of workers across the country start returning to offices, as Covid-19 restrictions ease furthe…"
206,Can I just suggest that this kind of article isn’t helpful; it’s speculative and only increases anxiety for people… https://t.co/afNXnfcMS3
207,"RT : talking w/parents, family activities, physical activities + better sleep were among the top predictors of high positive affe…"
208,"talking w/parents, family activities, physical activities + better sleep were among the top predictors of high posi… https://t.co/3dYMqRhvKQ"
209,"From today in Ireland, 100's of workers across the country start returning to offices, as Covid-19 restrictions eas… https://t.co/YfOTf5lE2x"
210,"RT : “The prevalence of depression and anxiety symptoms during (the) COVID-19 (pandemic) have doubled,” The upside is that an…"
211,"RT : One in four Canadians aged 18 and older experienced symptoms consistent with depression, anxiety or post-traumatic stress…"
212,"RT : 76 million new cases of anxiety in 2020 &amp; 53 million new cases of depression, all due to #COVID-19. How to deal with i…"
213,"“The prevalence of depression and anxiety symptoms during (the) COVID-19 (pandemic) have doubled,” The upside is th… https://t.co/ANd8FrfFnR"
214,#CovidVaccination reduced symptoms of #depression by 27% and #anxiety by 28%. [...] Vaccine hesitancy might carry t… https://t.co/PINBYWtTG2
215,"RT : ACJ says the anxiety of litigants might be correct. Therefore, he says the High Court can keep the present petitions pendin…"
216,"RT : Our new paper out today  
'Impact of COVID-19 on HCPs exposed to drug-related deaths' 
Significant implicat…"
217,"""almost 140 Utah children under age 14 who were reported hospitalized with COVID-19 in the past two weeks""

I'd say… https://t.co/jKhY5G2nJO"
218,🧠 A growing body of evidence shows that COVID-19 has caused high rates of anxiety and depression among children and young people.
219,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
220,"Anxiety is the word that children in the UK related most with in the year 2021, according to Oxford University Pres… https://t.co/Fk5agF32M1"
221,"RT : Our new paper out today  
'Impact of COVID-19 on HCPs exposed to drug-related deaths' 
Significant implicat…"
222,"RT : Our new paper out today  
'Impact of COVID-19 on HCPs exposed to drug-related deaths' 
Significant implicat…"
223,"RT : Our new paper out today  
'Impact of COVID-19 on HCPs exposed to drug-related deaths' 
Significant implicat…"
224,RT :    have you not noticed the absolute insane pressure on nurses &amp; doctors right now? If pr…
225,"RT : Our new paper out today  
'Impact of COVID-19 on HCPs exposed to drug-related deaths' 
Significant implicat…"
226,"I hate seeing the anxiety, stress &amp; feelings of abandonment that the govt relaxing all Covid protections is causing… https://t.co/lU6zAYJisJ"
227,"I've been in quarantine for the last two weeks but still tested positive for Covid 19 today. I thought, I'm too car… https://t.co/NeDVqN1W6B"
228,"RT : ACJ says the anxiety of litigants might be correct. Therefore, he says the High Court can keep the present petitions pendin…"
229,"ACJ says the anxiety of litigants might be correct. Therefore, he says the High Court can keep the present petition… https://t.co/P4AdIZGy7a"
230,"RT : Vaccines cause happiness, study says.* https://t.co/WFIGzIQ6Ux
(*Ok, not really, but I wanted to write it. In …"
231,"RT : Vaccines cause happiness, study says.* https://t.co/WFIGzIQ6Ux
(*Ok, not really, but I wanted to write it. In …"
232,"RT : Vaccines cause happiness, study says.* https://t.co/WFIGzIQ6Ux
(*Ok, not really, but I wanted to write it. In …"
233,"Vaccines cause happiness, study says.* https://t.co/WFIGzIQ6Ux
(*Ok, not really, but I wanted to write it. In… https://t.co/8p5D5Q1EJB"
234,RT : Here's one of the 10 best research articles published by the MJA in 2021: Trajectories of depression and anxiety symptoms durin…
235,Indonesian President Joko Widodo says Indonesia will provide platforms as solution to overcome anxiety among global… https://t.co/GUgwgEyZLN
236,"RT : Our new paper out today  
'Impact of COVID-19 on HCPs exposed to drug-related deaths' 
Significant implicat…"
237,"RT : Our new paper out today  
'Impact of COVID-19 on HCPs exposed to drug-related deaths' 
Significant implicat…"
238,"RT : Our new paper out today  
'Impact of COVID-19 on HCPs exposed to drug-related deaths' 
Significant implicat…"
239,RT : Here's one of the 10 best research articles published by the MJA in 2021: Trajectories of depression and anxiety symptoms durin…
240,"RT : Our new paper out today  
'Impact of COVID-19 on HCPs exposed to drug-related deaths' 
Significant implicat…"
241,"RT : ""Doctors are also seeing a lot of symptoms of anxiety and depression in kids with long Covid — at this time unclear whet…"
242,"RT : Covid-19 cases across India are on rise again.
Our self discipline can ensure our safety

#COVID19 #CoronaUpdate  #COVID #cov…"
243,"Our new paper out today  
'Impact of COVID-19 on HCPs exposed to drug-related deaths' 
Significant impl… https://t.co/O9q1lfG4fV"
244,"Covid-19 cases across India are on rise again.
Our self discipline can ensure our safety

#COVID19 #CoronaUpdate… https://t.co/7wfvCSIJ9l"
245,"""Doctors are also seeing a lot of symptoms of anxiety and depression in kids with long Covid — at this time unclear… https://t.co/5JPXCUYLVN"
246,"   You know what might also increase anxiety during a covid-19 pandemic?
Seeing a l… https://t.co/NRgY56LfQI"
247,"REMEMBER THIS? (Feb 2021)
I was measuring the effects of HAPPY SQUIRT as a stress/anxiety reliever, but now in hind… https://t.co/Evg1hodqkm"
248,"  ""People who had recovered from COVID-19, [...], exhibited significant cognitive deficit… https://t.co/o8yYe7BPNG"
249,"RT : Covid-19 rules are changing across the UK this week, and we know that some people in our community will have mixed feelin…"
250,Just a simple question....why we aren't getting any updates regarding NIFT exams?? We were already stressed bcoz of… https://t.co/okXAG81Mfi
251,"76 million new cases of anxiety in 2020 &amp; 53 million new cases of depression, all due to #COVID-19. How to deal wit… https://t.co/TOLKc0lrPR"
252,"Faced with the uncertainty of the COVID 19 pandemic, an increased number of individuals experienced stress, anxiety… https://t.co/TUVCJMiDMr"
253,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/x13H9HRVgN
254,   BS This meta study was not specifically about online learning Vs face to face… https://t.co/iAED5k2FzK
255,Kings Fund Short Support Sessions : Support for healthcare leadership - small sessions from the Kings Fund on; copi… https://t.co/ggFidmBOVH
256,   BS This meta study was not specifically about online learning Vs face to face. I… https://t.co/zONDueOqfn
257,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/x13H9HRVgN
